,t_stat,p_val
"[2,109]",1.1229403597207117,0.26154867653664093
"[2,110]",0.47409375951736527,0.6354660124756658
"[2,111]",1.2837734584517257,0.19931595639280797
"[2,112]",2.8812407461269425,0.003987993073784182
"[2,113]",4.321700564111258,1.5963809318070212e-05
"[2,114]",2.4730693039857115,0.013448376225536483
"[2,115]",3.236881441076179,0.0012209992288738578
"[2,116]",1.5438933764598848,0.12271493467553814
"[2,117]",2.002872742021322,0.045276762307601165
"[2,118]",1.8696491087805438,0.061625557743563965
"[2,119]",-0.717413612952089,0.4731722870239433
"[2,120]",1.320061227211691,0.18691079822130527
"[2,121]",1.7472041116727788,0.0806996969945116
"[2,122]",-2.00502711252726,0.045045831151579806
"[2,123]",0.13866568228834966,0.8897232295897427
"[2,124]",-3.5791578200113485,0.0003499190749739332
"[2,125]",-0.5328686590048881,0.5941622101242658
"[2,126]",-1.6907746698568265,0.0909790920120546
"[2,127]",2.3801721059216816,0.017363905990715165
"[2,128]",2.2409304059871085,0.025100215054360574
"[2,129]",0.3772484401795824,0.7060144791545598
"[2,130]",-1.430241747642602,0.15274714317408372
"[2,131]",-4.904503879535492,9.842558829127266e-07
"[2,132]",-5.2828343855816735,1.3588020059572513e-07
"[2,133]",1.3799490430633787,0.16770057976489394
"[2,134]",-0.11690955344992164,0.906939204226722
"[2,135]",2.438111948033213,0.014819296991973416
"[2,136]",1.632873829998101,0.10259579782580115
"[2,137]",5.267792216909531,1.4738963232997438e-07
"[2,138]",6.047810760753281,1.6413271348120016e-09
"[2,139]",2.98759393862662,0.002833591993494426
"[2,140]",3.2295422723504545,0.0012526676814248038
"[2,141]",2.2141515616595804,0.026889934064081647
"[2,142]",2.098050427792192,0.03598041062021826
"[2,143]",1.9392231729173197,0.052563640565633805
"[2,144]",1.7614497080555742,0.07825962686699887
"[2,145]",-0.7702181716881433,0.4412284288027518
"[2,146]",-1.0880350383586528,0.27666314436335426
"[2,147]",2.5699119209393824,0.010218166792409908
"[2,148]",3.0427698709316204,0.002363516323988979
"[2,149]",-2.3456054427842545,0.01905811397033598
"[2,150]",-2.639007895608655,0.008355991931354763
"[2,151]",2.0588845161756297,0.03958760828580281
"[2,152]",2.1028621341856635,0.035557218038539444
"[2,153]",3.9291759412770806,8.70738043296927e-05
"[2,154]",4.16205270356927,3.238695786866012e-05
"[2,155]",0.7212097340045368,0.4708341772898351
"[2,156]",-0.1583293681929118,0.8742074488401137
"[2,157]",1.1750530158340495,0.24006260221640688
"[2,158]",0.7289489485353183,0.46608725572455134
"[2,159]",-0.8736944311319872,0.38235149697891957
"[2,160]",-0.944744029795906,0.34486226075291937
"[2,161]",-4.923567829903379,8.936726468479674e-07
"[2,162]",-4.274341553776907,1.97406742953037e-05
"[2,163]",-4.324621448869098,1.5755003299459228e-05
"[2,164]",-4.4577417519352815,8.572687275329909e-06
"[2,165]",-4.8757428078148255,1.1378469368424062e-06
"[2,166]",-5.421883450148323,6.343883706773367e-08
"[2,167]",-2.3673857203913737,0.01797454874524767
"[2,168]",-1.8216808624693042,0.06859852050973797
"[2,169]",-2.3276906010277103,0.019991774950297914
"[2,170]",-4.858077604064094,1.2433573395773954e-06
"[2,171]",-2.0287437713638017,0.042568618297964
"[2,172]",-1.8652747982730413,0.062236095851555526
"[2,173]",-2.217084061189902,0.0266887147839779
"[2,174]",-5.544458082056057,3.1928408929060515e-08
"[2,175]",3.955497002203812,7.806356730673857e-05
"[2,176]",4.9519692999832765,7.734561398524161e-07
"[2,177]",6.069901371408626,1.4330141064852694e-09
"[2,178]",-0.19272282702587282,0.8471885086660197
"[2,179]",-1.015508825753019,0.30994158172773284
"[2,180]",-4.235687110138167,2.3439997508225238e-05
"[2,181]",0.8670702982292818,0.3859697466999028
"[2,182]",0.012875669071455185,0.9897278042598339
"[2,183]",-1.0416655136155293,0.2976469775173579
"[2,184]",-2.3028955138289016,0.02134979453509454
"[2,185]",0.04264144152393278,0.9659900711428309
"[2,186]",-0.7071012062082355,0.4795560578466974
"[2,187]",1.4747676636096212,0.14037527079221174
"[2,188]",1.1576799536380444,0.24708271839409857
"[2,189]",2.0700446499643763,0.038529742365243494
"[2,190]",2.7049801430691605,0.006867724212890707
"[2,191]",1.156865290844885,0.24741540233293396
"[2,192]",1.7280820231784375,0.08407183518813117
"[2,193]",3.760078040327142,0.00017295647071008643
"[2,194]",3.062980925346313,0.0022100239091139154
"[2,195]",-0.09502302196211133,0.9243026040191675
"[2,196]",-0.07732303641405718,0.9383714917904035
"[2,197]",0.17426920811615793,0.861665131747759
"[2,198]",0.9211234644235499,0.3570567337475651
"[2,199]",0.3704941631567413,0.711039314842209
